source,url,evidence_use
Moonpig FY26 results,https://www.moonpig.group/investors/results-reports-and-presentations/,Official investor materials; FY26 £373m revenue / £104.6m adjusted EBITDA context.
Moonpig FY25 results,https://www.moonpig.group/investors/results-reports-and-presentations/,"Official investor materials; reminders, subscriptions, creative feature adoption."
Etsy 2025 10-K,https://investors.etsy.com/sec-filings/all-sec-filings/content/0001370637-26-000019/etsy-20251231.htm,"Official filing; ~$10.5bn GMS, about 30% custom/made-to-order."
Prodigi classic cards,https://www.prodigi.com/products/cards-and-stationery/greeting-cards/,Current product/starting price and production information.
Prodigi API,https://www.prodigi.com/print-api/,Fulfilment/API overview.
Prodigi products,https://www.prodigi.com/products/,Current POD catalogue/regions.
Gelato greeting cards,https://www.gelato.com/products/greeting-cards,Global/local production network and cards.
Gelato API,https://dashboard.gelato.com/docs/,Developer integration.
Gooten,https://www.gooten.com/,POD network / products.
Printify personalised gifts,https://printify.com/personalized-gifts/,AI/product-creator features.
Teeinblue,https://teeinblue.com/,Personalisation SaaS competitor.
Customily,https://www.customily.com/,Personalisation SaaS competitor.
Zakeke,https://www.zakeke.com/,Product customisation / print-ready / 3D/AR competitor.
Kickflip,https://gokickflip.com/,Product customiser competitor.
Wonderbly / Graphite exit case,https://www.graphitecapital.com/portfolio/wonderbly/,Investor case on scale and exit.
CEWE investor relations,https://ir.cewe.de/,Official annual/Q4 financial performance.
Amazon AI custom merch,https://www.aboutamazon.com/news/retail/design-merch-with-ai-alexa-for-shopping,June 2026 official launch.
Amazon Alexa for Shopping,https://www.aboutamazon.com/news/retail/alexa-for-shopping-ai-assistant,Personalized/agentic shopping context.
Microsoft Holiday 2026,https://about.ads.microsoft.com/en/resources/discover/insights/holiday-season-with-microsoft-advertising,"2026 AI use, early shopping, value/trust trends."
Pinterest Holiday 2026 UK,https://business.pinterest.com/en-gb/holiday-marketing-2026/,"Early planning, visual search, campaign evidence."
Pinterest 2026 guide,https://business.pinterest.com/blog/holiday-2026-starts-now-a-pinterest-guide-to-success/,July 2026 holiday timing guidance.
Pinterest Predicts 2026,https://business.pinterest.com/blog/pinterest-predicts-2026-turn-trends-into-unlimited-possibilities/,2026 aesthetic/trend signals.
TikTok Creative Center,https://ads.tiktok.com/resources/help/article/creative-center,Free trend/top-ad tooling.
TikTok Trends help,https://ads.tiktok.com/resources/help/article/how-to-use-trends,Trend analytics and regional insights.
Google Trends API alpha,https://developers.google.com/search/blog/2025/07/trends-api,"5-year, geo, consistently scaled API details."
Google Trends API docs,https://developers.google.com/search/apis/trends,Current alpha status.
Google Trends BigQuery dataset,https://support.google.com/trends/answer/12764470,Top/rising query dataset coverage.
Google holiday Demand Gen 2026,https://blog.google/products/ads-commerce/demand-gen-drop-july-2026/,July 2026 holiday advertising guidance.
Etsy Spring/Summer 2026 trends,https://www.etsy.com/seller-handbook/article/1473931456647,Official Etsy search/trend methodology and gifting cues.
Etsy Seller Handbook,https://www.etsy.com/seller-handbook,Marketplace seller/trend/AI guidance.
OpenAI GPT-Image-2,https://developers.openai.com/api/docs/models/gpt-image-2,Current image generation/editing model documentation.
Recraft API,https://www.recraft.ai/docs/api-reference/getting-started,V4.1 raster/vector/style capabilities.
Recraft pricing,https://www.recraft.ai/pricing?tab=api,Current API pricing reference.
Ideogram API,https://developer.ideogram.ai/ideogram-api/api-overview,Typography/editing/custom-model capabilities.
Ideogram 4.0 release,https://ideogram.ai/news/ideogram-4.0/,June 2026 open-weight/commercial release.
Adobe Firefly Custom Models API,https://developer.adobe.com/firefly-services/docs/firefly-api/guides/concepts/custom-models/,Style/subject custom model workflows.
Gemini image generation/editing,https://ai.google.dev/gemini-api/docs/image-generation,Current image editing workflow.
PwC UK festive 2025,https://www.pwc.co.uk/press-room/press-releases/research-commentary/festive-spending-forecast-to-reach-p24-6bn-this-year--pwc-uk---.html,£24.6bn festive spending forecast / £461 adult average.
CCPC Ireland Christmas 2025,https://www.ccpc.ie/about-us/advocacy-and-research/research/publication-details/ccpc-christmas-shopping-research-2025,Irish holiday spending survey.
PwC Ireland Black Friday 2025,https://www.pwc.ie/reports/black-friday-survey.html,83% use sales for gifts; online share.
Canada Visa holiday spending,https://www.visa.ca/en_CA/about-visa/newsroom/press-releases/canada-holiday-spending.html,Holiday spending + ecommerce growth.
Spain CNMC ecommerce 2025,https://www.cnmc.es/eu/node/421221,Official 2025 ecommerce turnover / Q4 growth.
Italy ISTAT Dec 2025 retail,https://www.istat.it/comunicato-stampa/commercio-al-dettaglio-dicembre-2025/,Official Dec ecommerce retail growth.
YouComics / YouStudio,https://youcomics.art/,Current AI-native personalised-gift example.
Giftimage,https://www.giftimage.com/,Current AI-native personalised-gift example.
Tiny Stories,https://tinystories.ai/,Current AI-native photo/story gifting example.
Book4U,https://book4u.store/,Current AI personalised-book example.
