platform,priority,automation_class,headless_final_submission,main_transport,notes
HackerOne,A,FULL_HEADLESS_SUBMISSION,yes,API,Best immediate target for a real autonomous adapter because researcher-side POST submission is explicitly documented.
Bugcrowd,A,PARTIAL_API_UI_SUBMISSION,no/partial,Portal/API partial,Treat Bugcrowd's customer-side submission API separately from researcher reporting. Fail closed.
0DIN,A,UI_SUBMISSION_API_FOR_DEFENSE_ONLY,no/partial,Portal/API partial,"Extremely aligned AI-security target, but current public automation is stronger on defense APIs than bounty-report submission."
YesWeHack,A,PARTIAL_OAUTH_API,no/partial,Portal/API partial,Worth requesting API permissions specifically for a researcher automation integration.
Intigriti,A,DISCOVERY_API_UI_SUBMISSION,no/partial,Portal/API partial,Good source adapter even before write automation is available.
Cantina,A,UI_WORKFLOW,no/partial,Portal/API partial,Optimize for high-quality unique findings; reputation is valuable and spam/rejections hurt.
Immunefi,A,UI_SUBMISSION,no/partial,Portal/API partial,Excellent source of historical paid reports and economically weighted training data.
Gittensor SN74,A,HEADLESS_AFTER_SETUP,yes,GitHub/Bittensor,The cleanest non-bounty paid training loop for the coding/security worker.
Superteam Earn,B,FULL_AGENT_NATIVE,yes,API/MCP,One of the best actual autonomous-work APIs; integrate directly into /mw.
HackenProof,B,UI_SUBMISSION_WITH_INTEGRATIONS,no/partial,Portal/API partial,Ask HackenProof support specifically for researcher-side MCP/API documentation.
Sherlock,B,GITHUB_NATIVE_HUMAN_JOIN,no/partial,GitHub,A strong fit for a GitHub-connected worker once Solidity capability is good enough.
Algora,C,GITHUB_NATIVE,no/partial,GitHub,"Keep as a machine-monitored opportunistic feed, not a human dashboard."
Clustly,C,FULL_AGENT_NATIVE,yes,API/MCP,"Useful future sales channel for packaged AISec deliverables, not primarily a bug-bounty venue."
BountyBook,C,FULL_AGENT_NATIVE_BETA,no/partial,Portal/API partial,"Architecturally very relevant to Moltwork, but currently experimental and may have zero open work."
