month,events,operator_action
January,Valentine's; post-Q4; birthdays,"Q4 postmortem, keep Xmas URLs, Valentine's creative"
February,Valentine's; Mother's Day prep,relationship gift tests; recipient CRM
March,Mother's Day UK; weddings,family personalization; spring report
April,Easter; Father's Day prep,samples; wedding/graduation
May,Mother's Day US; graduation,creator seeding; family gifting
June,Father's Day; weddings,Christmas concept build starts
July,Christmas in July,"PR, samples, supplier stress tests"
August,early holiday planning,"Pinterest/catalogues, SEO, creator seeding"
September,Q4 discovery,full Xmas launch; trend radar; Merchant feed
October,Halloween; early Xmas,scale winners; Black Friday prep
November,Black Friday/Cyber Monday,bundles; heavy Q4 trade
December,Sinterklaas/Xmas/New Year,delivery cutoff engine; calendars; digital fallback
