product,starting_production_gbp,regions,production_note,role,thesis,personalisation_score_10,launch_priority_10
Greeting card,1.1,UK,24h advertised,Acquisition/reminder,High repeat; low AOV,9,5
Photo print,0.19,Multiple,48-72h,Attach/low-cost print,Very low production cost,6,5
Wrapping paper,3.0,UK/EU/US,~72h,Attach,Reuse recipient creative,8,7
Mug,3.64,UK/EU/US,48-72h,Core/attach,Broad gift familiarity,8,7
Gallery board,3.5,UK/EU/US,~72h,Premium print,Strong visual transformation,7,7
Magazine,3.75,Multiple,96-144h,Hero,AI writing+layout moat,10,9
Calendar,5.96,Multiple,~120h,Q4/New Year hero,12-page personalization,9,8
Softcover photo book,6.5,Multiple,~96h,Hero,High emotional value,10,9
T-shirt,8.0,UK/EU/US,72-120h,Niche,Sizing + saturation,6,5
Cushion,9.0,UK/US/MX,72-120h,Attach,Visual but bulky,7,6
Jigsaw puzzle,10.0,UK,~72h,Hero,Higher AOV + giftability,9,8
Aluminium ornament,6.0,UK,~72h,Q4 hero,Annual collectible,10,9
