country,niche,product_name,competitor_price_local,supplier_price_usd_low,supplier_price_usd_high,supplier_moq,match_quality,competitor_source,supplier_source,monthly_searches,cpc_local,assumed_cvr,merchant_count,dominant_merchant_share,creative_gap,title_gap,b2b_multiplier,bundle_multiplier,regulated_risk,fragility_risk,bulky_risk,expected_return_rate,estimated_delivery_days,has_local_payment,has_local_return_address,landed_cost_local,target_price_local,expected_units_per_order,notes
DK,rechargeable hospitality/table lighting,"Sirius Tim rechargeable table lamp, black nickel 22 cm",479,1.89,12.9,2,category/near-match only,https://bord-lampe.dk/genopladelig/,https://www.alibaba.com/wholesale/cordless-table-lamps-rechargeable.html,500,3.2,0.026,8,0.25,0.55,0.55,0.9,0.85,0.65,0.2,0.05,0.06,6,1,0,55,440.68,1.5,Live DK retail observation and live Alibaba category quotes. Electrical/battery product: compliance pack is a hard gate. Search/CPC/landed cost are DEMO assumptions until imported from ad/supplier data.
DK,rechargeable hospitality/table lighting,"Nordlux Mirano rechargeable table lamp, green",459,1.89,12.9,2,category/near-match only,https://bord-lampe.dk/genopladelig/,https://www.alibaba.com/wholesale/cordless-table-lamps-rechargeable.html,600,3.2800000000000002,0.026,8,0.25,0.55,0.55,0.9,0.85,0.65,0.2,0.05,0.06,6,1,0,59,422.28,1.5,Live DK retail observation and live Alibaba category quotes. Electrical/battery product: compliance pack is a hard gate. Search/CPC/landed cost are DEMO assumptions until imported from ad/supplier data.
DK,rechargeable hospitality/table lighting,"IP54 rechargeable LED table lamp, white, touch dimmable",279,1.89,12.9,2,category/near-match only,https://bord-lampe.dk/genopladelig/,https://www.alibaba.com/wholesale/cordless-table-lamps-rechargeable.html,700,3.3600000000000003,0.026,8,0.25,0.55,0.55,0.9,0.85,0.65,0.2,0.05,0.06,6,1,0,63,256.68,1.5,Live DK retail observation and live Alibaba category quotes. Electrical/battery product: compliance pack is a hard gate. Search/CPC/landed cost are DEMO assumptions until imported from ad/supplier data.
DK,rechargeable hospitality/table lighting,"Kave Home Arenys rechargeable table lamp, turquoise",799,1.89,12.9,2,category/near-match only,https://bord-lampe.dk/genopladelig/,https://www.alibaba.com/wholesale/cordless-table-lamps-rechargeable.html,800,3.4400000000000004,0.026,8,0.25,0.55,0.55,0.9,0.85,0.65,0.2,0.05,0.06,6,1,0,67,735.08,1.5,Live DK retail observation and live Alibaba category quotes. Electrical/battery product: compliance pack is a hard gate. Search/CPC/landed cost are DEMO assumptions until imported from ad/supplier data.
DK,rechargeable hospitality/table lighting,"3W rechargeable LED table lamp, brown, 4000mAh",454,1.89,12.9,2,category/near-match only,https://bord-lampe.dk/genopladelig/,https://www.alibaba.com/wholesale/cordless-table-lamps-rechargeable.html,900,3.52,0.026,8,0.25,0.55,0.55,0.9,0.85,0.65,0.2,0.05,0.06,6,1,0,71,417.68,1.5,Live DK retail observation and live Alibaba category quotes. Electrical/battery product: compliance pack is a hard gate. Search/CPC/landed cost are DEMO assumptions until imported from ad/supplier data.
DK,rechargeable hospitality/table lighting,"Veli Line Shine rechargeable table lamp, green",109,1.89,12.9,2,category/near-match only,https://bord-lampe.dk/genopladelig/,https://www.alibaba.com/wholesale/cordless-table-lamps-rechargeable.html,1000,3.6,0.026,8,0.25,0.55,0.55,0.9,0.85,0.65,0.2,0.05,0.06,6,1,0,75,100.28,1.5,Live DK retail observation and live Alibaba category quotes. Electrical/battery product: compliance pack is a hard gate. Search/CPC/landed cost are DEMO assumptions until imported from ad/supplier data.
DK,rechargeable hospitality/table lighting,House Nordic Wigan rechargeable table lamp,319,1.89,12.9,2,category/near-match only,https://bord-lampe.dk/genopladelig/,https://www.alibaba.com/wholesale/cordless-table-lamps-rechargeable.html,1100,3.68,0.026,8,0.25,0.55,0.55,0.9,0.85,0.65,0.2,0.05,0.06,6,1,0,79,293.48,1.5,Live DK retail observation and live Alibaba category quotes. Electrical/battery product: compliance pack is a hard gate. Search/CPC/landed cost are DEMO assumptions until imported from ad/supplier data.
DK,rechargeable hospitality/table lighting,"Sirius Tim rechargeable table lamp, white 22 cm",459,1.89,12.9,2,category/near-match only,https://bord-lampe.dk/genopladelig/,https://www.alibaba.com/wholesale/cordless-table-lamps-rechargeable.html,1200,3.7600000000000002,0.026,8,0.25,0.55,0.55,0.9,0.85,0.65,0.2,0.05,0.06,6,1,0,83,422.28,1.5,Live DK retail observation and live Alibaba category quotes. Electrical/battery product: compliance pack is a hard gate. Search/CPC/landed cost are DEMO assumptions until imported from ad/supplier data.
DK,rechargeable hospitality/table lighting,"Nordlux Ellen rechargeable table lamp, green",319,1.89,12.9,2,category/near-match only,https://bord-lampe.dk/genopladelig/,https://www.alibaba.com/wholesale/cordless-table-lamps-rechargeable.html,1300,3.8400000000000003,0.026,8,0.25,0.55,0.55,0.9,0.85,0.65,0.2,0.05,0.06,6,1,0,87,293.48,1.5,Live DK retail observation and live Alibaba category quotes. Electrical/battery product: compliance pack is a hard gate. Search/CPC/landed cost are DEMO assumptions until imported from ad/supplier data.
DK,rechargeable hospitality/table lighting,"Nielsen Light Move Me rechargeable lamp, light grey",299,1.89,12.9,2,category/near-match only,https://bord-lampe.dk/genopladelig/,https://www.alibaba.com/wholesale/cordless-table-lamps-rechargeable.html,1400,3.92,0.026,8,0.25,0.55,0.55,0.9,0.85,0.65,0.2,0.05,0.06,6,1,0,91,275.08,1.5,Live DK retail observation and live Alibaba category quotes. Electrical/battery product: compliance pack is a hard gate. Search/CPC/landed cost are DEMO assumptions until imported from ad/supplier data.
DK,rechargeable hospitality/table lighting,"Nielsen Light Bistro rechargeable table lamp, purple",254,1.89,12.9,2,category/near-match only,https://bord-lampe.dk/genopladelig/,https://www.alibaba.com/wholesale/cordless-table-lamps-rechargeable.html,1500,4.0,0.026,8,0.25,0.55,0.55,0.9,0.85,0.65,0.2,0.05,0.06,6,1,0,95,233.68,1.5,Live DK retail observation and live Alibaba category quotes. Electrical/battery product: compliance pack is a hard gate. Search/CPC/landed cost are DEMO assumptions until imported from ad/supplier data.
DK,rechargeable hospitality/table lighting,"Nielsen Light Nyhavn rechargeable table lamp, red",169,1.89,12.9,2,category/near-match only,https://bord-lampe.dk/genopladelig/,https://www.alibaba.com/wholesale/cordless-table-lamps-rechargeable.html,1600,4.08,0.026,8,0.25,0.55,0.55,0.9,0.85,0.65,0.2,0.05,0.06,6,1,0,99,155.48,1.5,Live DK retail observation and live Alibaba category quotes. Electrical/battery product: compliance pack is a hard gate. Search/CPC/landed cost are DEMO assumptions until imported from ad/supplier data.
DK,rechargeable hospitality/table lighting,"1W rechargeable LED table lamp, French Gold",235,1.89,12.9,2,category/near-match only,https://bord-lampe.dk/genopladelig/,https://www.alibaba.com/wholesale/cordless-table-lamps-rechargeable.html,1700,4.16,0.026,8,0.25,0.55,0.55,0.9,0.85,0.65,0.2,0.05,0.06,6,1,0,103,216.2,1.5,Live DK retail observation and live Alibaba category quotes. Electrical/battery product: compliance pack is a hard gate. Search/CPC/landed cost are DEMO assumptions until imported from ad/supplier data.
DK,rechargeable hospitality/table lighting,"Haipot rechargeable LED table lamp, dark red",599,1.89,12.9,2,category/near-match only,https://bord-lampe.dk/genopladelig/,https://www.alibaba.com/wholesale/cordless-table-lamps-rechargeable.html,1800,4.24,0.026,8,0.25,0.55,0.55,0.9,0.85,0.65,0.2,0.05,0.06,6,1,0,107,551.08,1.5,Live DK retail observation and live Alibaba category quotes. Electrical/battery product: compliance pack is a hard gate. Search/CPC/landed cost are DEMO assumptions until imported from ad/supplier data.
