method,mechanism,starting_capital,q4_fit,moat
Google free-listing wedge,Build clean Merchant Center feed before ads,£0–£100,High,Feed quality + free organic product surfaces
Feed-only PMax demand capture,Shopping-first automation without manual creatives,£200–£800 test budget,High,Intent + machine-readable catalog
Standard Shopping query sculpting,Manual control + negatives to learn converting terms,£150–£600,High,Cheap learning from exact demand
Localized Shopping clone,Same validated category in weaker local-language market,"£200–£1,000",High,Localization + lower merchant quality
Microsoft Shopping clone,Import proven Google feed/campaign into Microsoft,£100–£400,Medium,Incremental lower-CPC searchers; not universally strong
Personalization wrapper,Turn commodity object into recipient/occasion-specific gift,£50–£300,Very high,"Buyer compares emotional outcome, not BOM"
Curated bundle arb,Bundle 2–5 proven commodity products into one solution,£100–£500,High,Unique SKU + AOV + comparison resistance
Compatibility catalog,Organize products around device/model/use compatibility,£100–£500,High,Long-tail high-intent queries
Replacement-part catalog,Boring recurring replacement demand,£100–£500,High,"Search-led need, low creative burden"
Accessory ecosystem,Sell add-ons around an installed-base product,£100–£500,High,Existing demand created by parent brand
Gift-guide landing engine,Build recipient/occasion pages around catalog,£50–£200,High Q4,Captures inspiration/custom-gifting queries
AI buying-guide moat,Deep comparison/Q&A pages for confusing products,£50–£200,High,Useful to humans + AI discovery
Marketplace-to-Google bridge,Use Etsy/Amazon bestseller/search evidence to seed Google candidate list,£0–£200,High,Cross-market validation
Social-to-search capture,"Monitor viral ads/products, target subsequent Google research",£0–£300,High,Let social creators create awareness
Price/stock alert niche,Build content + product offers around volatile/seasonal availability,£50–£300,Medium,Timeliness + intent
Preorder seasonal micro-brand,Sell only when supplier lead time is reliable,£50–£250,Medium,Low inventory risk; hard deadlines
Local supplier virtual catalog,Digitize weak wholesalers/local makers and run Shopping,£50–£500,Very high,Real supply moat + no China comparison
Wholesale-to-retail service layer,Take boring wholesale items and add advice/support/returns,£100–£800,Very high,Service differentiation
Niche B2B microcatalog,Sell searchable equipment/supplies to small trades/businesses,£100–£800,High,"Less impulse competition, higher AOV"
Seasonal collection expansion,Add related cold-weather/holiday products to proven base,£50–£300,High Q4,Horizontal scaling instead of ad-budget only
CSS testing in UK/EEA,Compare Shopping CSS service models,£0–£300 setup,Medium,Potential efficiency/management advantages
Merchant promotions arb,Use bundles/free gift/free shipping rather than pure price cuts,£50–£300,High Q4,Visible offer differentiation
Fast-delivery positioning,Source local inventory/warehouse for hard-deadline categories,"£100–£1,000",Very high,Shipping becomes moat
Review/data enrichment service,Improve weak supplier listings with legitimate specs/media/Q&A,£50–£200,High,Information quality moat
