slug,name,archetype,description,q4_window,moat,first_test,price_low,price_high,cogs_low,cogs_high,marketplaces,evidence_keys,demand_proof,personalization_demand,q4_multiplier,ai_effort_removed,giftability,gross_margin,fulfillment_fit,shareability,repeatability,cross_marketplace,recurring_graph,saturation_gap,ip_risk,privacy_risk,support_burden,quality_risk,risks
family-annual-newspaper,AI Family Annual / Christmas Newspaper,memory_to_artifact,"Upload photos + a few prompts; AI writes and lays out a funny/sentimental family newspaper or year-in-review, printed and shipped.",Sep 15–Dec 24; digital variants extend to Dec 24,Recipient/family memory graph improves every year; annual repeat is native.,"Launch 3 aesthetics: broadsheet, 90s magazine, elegant family annual. Offer 48-hour digital proof + local POD.",24,49,6,14,Etsy; Shopify,etsy_newspaper; etsy_magazine; etsy_10k; moonpig_fy26; prodigi_api,87,88,98,98,96,84,80,92,88,82,88,84,10,20,30,20,
recipient-one-click-photobook,One-click Recipient Photo Book,memory_to_artifact,"Instead of manually selecting photos, buyer chooses the recipient/person and the system dedupes, ranks, clusters and drafts a finished photo book.",Sep 15–Dec 24; digital variants extend to Dec 24,Saved recipient graph + face cluster + prior books turns next birthday/Christmas into one click.,"MVP uses batch upload rather than Google Photos OAuth: upload 50 photos, pick cover, approve AI selection.",39,89,14,32,Etsy; Shopify,chatbooks_smart; lulu_personalized; gelato_books; etsy_10k; moonpig_graph,90,88,85,100,98,75,80,78,92,82,95,88,10,42,30,28,photo privacy/consent; face clustering should be opt-in; print crop/color quality
group-love-book,Group-contribution “Why We Love You” Book,memory_to_artifact,One buyer shares a link; friends/family submit a photo/message/memory; AI edits and lays out one premium book.,Sep 15–Dec 24; digital variants extend to Dec 24,Group-contribution network creates distribution: every contributor becomes a prospective customer.,Retirement + 60th birthday + Christmas-for-grandparents landing pages.,49,119,16,38,Etsy; Shopify,lulu_personalized; gelato_books; etsy_storybooks; etsy_10k,82,88,85,96,100,78,80,95,73,82,79,91,10,20,38,20,
family-game-night,AI Family Game Night Deck,people_to_game,"Generate family trivia, “who said it?”, memories, photo rounds and inside-joke cards from a short group form.",Sep 15–Dec 24; digital variants extend to Dec 24,"Unlike a photo deck, the content itself is personalized; annual expansion packs are possible.","Sell “Christmas Dinner Edition” first; 54 cards, one upload form, instant preview of 5 cards.",29,59,7,17,Etsy; Shopify,etsy_boardgame; etsy_playing_cards; etsy_family_gifts; prodigi_api,87,88,100,95,98,84,80,96,75,82,50,88,10,20,30,20,need filters for hurtful/private questions
personalized-cracker-kit,Personalized Christmas Crackers: AI Inserts,occasion_bundle,"Named crackers with unique jokes, fortunes, mini trivia, family facts and QR messages for each guest; sell as inserts first, then full crackers where fulfillment is reliable.",Sep 15–Dec 24; digital variants extend to Dec 24,Variable-data content makes each seat unique; can expand to full Christmas-table bundle.,Start digital + locally printed insert pack; upsell physical shells only after supplier validation.,18,45,3,14,Etsy; Shopify,etsy_crackers; etsy_winter; pinterest_holiday; etsy_10k,76,88,100,96,94,90,75,96,70,82,50,94,10,20,35,20,physical cracker rules/shipping vary; inserts are easiest MVP
christmas-table-pack,AI Personalized Christmas Table Pack,occasion_bundle,"One guest list becomes coordinated place cards, menu cards, cracker inserts, family trivia, conversation cards and mini “awards”.",Sep 15–Dec 24; digital variants extend to Dec 24,One input set creates 5+ coordinated SKUs; very high perceived creative labor.,Digital-first £/$15–25 equivalent to validate; physical premium box second.,29,79,5,24,Etsy; Shopify,etsy_winter; etsy_crackers; pinterest_holiday; printify_personalization,79,88,100,99,91,88,80,95,70,90,50,96,10,20,30,20,table facts/jokes need buyer approval
year-ahead-astrology-book,2027 Year-Ahead Astrology Hardcover,profile_to_report,"Premium annual astrology book built from deterministic birth-chart/transit calculations, with monthly themes/journaling prompts; positioned as entertainment/self-reflection, not factual prediction.",Sep 15–Dec 24; digital variants extend to Dec 24,Annual recurring purchase + premium physical artifact; current Etsy market is crowded at low-price PDFs but much thinner at high-quality hardcovers.,2027 hardcover + $19 digital preview funnel; birthday variant makes it evergreen.,59,129,14,34,Etsy; Shopify,etsy_astrology_book; etsy_yearly_astrology; etsy_numerology_2026; lulu_personalized,86,88,97,96,91,82,80,78,100,82,92,88,10,35,30,30,must calculate chart data deterministically; do not let LLM invent placements; label as interpretive/entertainment; avoid medical/financial certainty; birth data is sensitive
numerology-year-book,2027 Personal Year Numerology Book,profile_to_report,Personal year/month numerology calculations presented as a premium journal/report with prompts.,Sep 15–Dec 24; digital variants extend to Dec 24,Annual SKU refresh with deterministic calculation + premium design.,Low-CAC digital validation then upsell the printed journal.,29,69,7,20,Etsy; Shopify,etsy_numerology_2026; etsy_yearly_astrology; lulu_personalized,76,88,96,94,84,85,80,78,100,82,50,82,10,22,30,20,entertainment/interpretive framing; avoid deterministic life/health/finance claims
handwritten-recipe-heirloom,Handwritten Recipe Heirloom Bundle,data_to_keepsake,"Upload Grandma’s handwritten recipe once; clean/restore it and turn it into towel, print, recipe card, mini book and Christmas card.",Sep 15–Dec 24; digital variants extend to Dec 24,One upload fans out to a bundle and future family recipe archive.,Towel + archival recipe card bundle first; offer transcription proof before print.,24,89,6,28,Etsy; Shopify,etsy_recipe; etsy_winter; etsy_10k; printify_personalization,96,88,95,88,100,80,80,90,70,82,50,72,10,20,30,32,OCR/transcription must be manually checked; preserve original handwriting
voice-qr-keepsake,Voice / QR Memory Keepsake,data_to_keepsake,"Upload a voice note; create tasteful soundwave/QR art that plays the authorized message, optionally as card, ornament or acrylic block.",Sep 15–Dec 24; digital variants extend to Dec 24,Hosted memory page + recipient graph creates durable recurring relationship.,“Scan to hear Mum/Grandad/the kids” keepsake; charge hosting once or lifetime included.,19,59,5,18,Etsy; Shopify,etsy_soundwave; pinterest_penpals; etsy_10k,88,88,90,83,98,78,80,94,72,82,50,76,10,42,30,20,secure voice storage and deletion controls; QR destination must remain stable; do not use copyrighted songs without rights
