country,niche,product_name,competitor_price_local,landed_cost_local,target_price_local,monthly_searches,cpc_local,assumed_cvr,match_quality,competitor_source,supplier_source,score_total,gate,reason,economics_json,breakdown_json
NO,architectural/kitchen hardware,Tapwell Bean 037 brass knob,295.0,50.0,271.4,790.0,4.34,0.03,category/near-match only,https://www.prisjakt.no/s/kjokken-handtak-borstet-messing/,https://www.alibaba.com/countrysearch/CN/brass-handles-kitchen.html,81.62,RESEARCH,supplier match/delivered quote not yet verified,"{""target_price_local"": 271.4, ""expected_units_per_order"": 8.0, ""order_revenue_local"": 2171.2, ""net_revenue_ex_vat"": 1736.96, ""landed_cost_local"": 50.0, ""landed_cost_order_local"": 400.0, ""payment_fee_local"": 54.28, ""expected_returns_loss_local"": 45.6, ""support_allowance_local"": 32.57, ""pre_ad_contribution_local"": 1204.52, ""expected_cpa_local"": 144.67, ""contribution_after_ads_local"": 1059.85, ""break_even_cvr"": 0.0036, ""break_even_roas"": 1.803, ""expected_roas"": 15.008, ""contribution_margin_after_ads"": 0.4881}","{""total"": 81.62, ""economics"": 35.0, ""demand"": 8.69, ""competition"": 11.74, ""merchandising"": 5.5, ""basket"": 9.0, ""localization"": 8.15, ""operations"": 3.53, ""gate"": ""RESEARCH"", ""reason"": ""supplier match/delivered quote not yet verified""}"
NO,architectural/kitchen hardware,Beslag Design Lounge 160 brushed brass handle,209.0,38.0,192.28,580.0,3.98,0.03,category/near-match only,https://www.prisjakt.no/s/kjokken-handtak-borstet-messing/,https://www.alibaba.com/countrysearch/CN/brass-handles-kitchen.html,81.21,RESEARCH,supplier match/delivered quote not yet verified,"{""target_price_local"": 192.28, ""expected_units_per_order"": 8.0, ""order_revenue_local"": 1538.24, ""net_revenue_ex_vat"": 1230.59, ""landed_cost_local"": 38.0, ""landed_cost_order_local"": 304.0, ""payment_fee_local"": 38.46, ""expected_returns_loss_local"": 32.3, ""support_allowance_local"": 23.07, ""pre_ad_contribution_local"": 832.76, ""expected_cpa_local"": 132.67, ""contribution_after_ads_local"": 700.09, ""break_even_cvr"": 0.00478, ""break_even_roas"": 1.847, ""expected_roas"": 11.595, ""contribution_margin_after_ads"": 0.4551}","{""total"": 81.21, ""economics"": 35.0, ""demand"": 8.29, ""competition"": 11.74, ""merchandising"": 5.5, ""basket"": 9.0, ""localization"": 8.15, ""operations"": 3.53, ""gate"": ""RESEARCH"", ""reason"": ""supplier match/delivered quote not yet verified""}"
DK,rechargeable hospitality/table lighting,"Duni Zelda rechargeable table lamp, brass",1299.0,111.0,1195.08,1900.0,4.32,0.026,category/near-match only,https://bord-lampe.dk/genopladelig/,https://www.alibaba.com/wholesale/cordless-table-lamps-rechargeable.html,80.74,COMPLIANCE_REVIEW,product category requires manual compliance evidence; supplier match/delivered quote not yet verified,"{""target_price_local"": 1195.08, ""expected_units_per_order"": 1.5, ""order_revenue_local"": 1792.62, ""net_revenue_ex_vat"": 1434.1, ""landed_cost_local"": 111.0, ""landed_cost_order_local"": 166.5, ""payment_fee_local"": 44.82, ""expected_returns_loss_local"": 37.65, ""support_allowance_local"": 26.89, ""pre_ad_contribution_local"": 1158.25, ""expected_cpa_local"": 166.15, ""contribution_after_ads_local"": 992.09, ""break_even_cvr"": 0.00373, ""break_even_roas"": 1.548, ""expected_roas"": 10.789, ""contribution_margin_after_ads"": 0.5534}","{""total"": 80.74, ""economics"": 35.0, ""demand"": 9.84, ""competition"": 11.74, ""merchandising"": 5.5, ""basket"": 8.75, ""localization"": 7.65, ""operations"": 2.26, ""gate"": ""COMPLIANCE_REVIEW"", ""reason"": ""product category requires manual compliance evidence; supplier match/delivered quote not yet verified""}"
NO,rechargeable hospitality/table lighting,"Halo Design Question rechargeable table lamp, black/brass",1315.0,133.0,1209.8,1250.0,6.16,0.026,category/near-match only,https://www.prisjakt.no/s/oppladbar-bordlampe/,https://www.alibaba.com/wholesale/cordless-table-lamps-rechargeable.html,80.69,COMPLIANCE_REVIEW,product category requires manual compliance evidence; supplier match/delivered quote not yet verified,"{""target_price_local"": 1209.8, ""expected_units_per_order"": 1.5, ""order_revenue_local"": 1814.7, ""net_revenue_ex_vat"": 1451.76, ""landed_cost_local"": 133.0, ""landed_cost_order_local"": 199.5, ""payment_fee_local"": 45.37, ""expected_returns_loss_local"": 38.11, ""support_allowance_local"": 27.22, ""pre_ad_contribution_local"": 1141.56, ""expected_cpa_local"": 236.92, ""contribution_after_ads_local"": 904.64, ""break_even_cvr"": 0.0054, ""break_even_roas"": 1.59, ""expected_roas"": 7.659, ""contribution_margin_after_ads"": 0.4985}","{""total"": 80.69, ""economics"": 35.0, ""demand"": 9.29, ""competition"": 11.74, ""merchandising"": 5.5, ""basket"": 8.75, ""localization"": 8.15, ""operations"": 2.26, ""gate"": ""COMPLIANCE_REVIEW"", ""reason"": ""product category requires manual compliance evidence; supplier match/delivered quote not yet verified""}"
DK,rechargeable hospitality/table lighting,"Haipot rechargeable LED table lamp, dark red",599.0,107.0,551.08,1800.0,4.24,0.026,category/near-match only,https://bord-lampe.dk/genopladelig/,https://www.alibaba.com/wholesale/cordless-table-lamps-rechargeable.html,80.67,COMPLIANCE_REVIEW,product category requires manual compliance evidence; supplier match/delivered quote not yet verified,"{""target_price_local"": 551.08, ""expected_units_per_order"": 1.5, ""order_revenue_local"": 826.62, ""net_revenue_ex_vat"": 661.3, ""landed_cost_local"": 107.0, ""landed_cost_order_local"": 160.5, ""payment_fee_local"": 20.67, ""expected_returns_loss_local"": 17.36, ""support_allowance_local"": 12.4, ""pre_ad_contribution_local"": 450.37, ""expected_cpa_local"": 163.08, ""contribution_after_ads_local"": 287.3, ""break_even_cvr"": 0.00941, ""break_even_roas"": 1.835, ""expected_roas"": 5.069, ""contribution_margin_after_ads"": 0.3476}","{""total"": 80.67, ""economics"": 35.0, ""demand"": 9.77, ""competition"": 11.74, ""merchandising"": 5.5, ""basket"": 8.75, ""localization"": 7.65, ""operations"": 2.26, ""gate"": ""COMPLIANCE_REVIEW"", ""reason"": ""product category requires manual compliance evidence; supplier match/delivered quote not yet verified""}"
NO,architectural/kitchen hardware,Beslag Design Bella 160 brushed brass handle,118.0,26.0,108.56,370.0,3.62,0.03,category/near-match only,https://www.prisjakt.no/s/kjokken-handtak-borstet-messing/,https://www.alibaba.com/countrysearch/CN/brass-handles-kitchen.html,80.63,RESEARCH,supplier match/delivered quote not yet verified,"{""target_price_local"": 108.56, ""expected_units_per_order"": 8.0, ""order_revenue_local"": 868.48, ""net_revenue_ex_vat"": 694.78, ""landed_cost_local"": 26.0, ""landed_cost_order_local"": 208.0, ""payment_fee_local"": 21.71, ""expected_returns_loss_local"": 18.24, ""support_allowance_local"": 13.03, ""pre_ad_contribution_local"": 433.81, ""expected_cpa_local"": 120.67, ""contribution_after_ads_local"": 313.14, ""break_even_cvr"": 0.00834, ""break_even_roas"": 2.002, ""expected_roas"": 7.197, ""contribution_margin_after_ads"": 0.3606}","{""total"": 80.63, ""economics"": 35.0, ""demand"": 7.7, ""competition"": 11.74, ""merchandising"": 5.5, ""basket"": 9.0, ""localization"": 8.15, ""operations"": 3.53, ""gate"": ""RESEARCH"", ""reason"": ""supplier match/delivered quote not yet verified""}"
NO,rechargeable hospitality/table lighting,"Joy rechargeable table lamp, turquoise",1062.0,127.0,977.04,1150.0,6.04,0.026,category/near-match only,https://www.prisjakt.no/s/oppladbar-bordlampe/,https://www.alibaba.com/wholesale/cordless-table-lamps-rechargeable.html,80.58,COMPLIANCE_REVIEW,product category requires manual compliance evidence; supplier match/delivered quote not yet verified,"{""target_price_local"": 977.04, ""expected_units_per_order"": 1.5, ""order_revenue_local"": 1465.56, ""net_revenue_ex_vat"": 1172.45, ""landed_cost_local"": 127.0, ""landed_cost_order_local"": 190.5, ""payment_fee_local"": 36.64, ""expected_returns_loss_local"": 30.78, ""support_allowance_local"": 21.98, ""pre_ad_contribution_local"": 892.55, ""expected_cpa_local"": 232.31, ""contribution_after_ads_local"": 660.24, ""break_even_cvr"": 0.00677, ""break_even_roas"": 1.642, ""expected_roas"": 6.309, ""contribution_margin_after_ads"": 0.4505}","{""total"": 80.58, ""economics"": 35.0, ""demand"": 9.18, ""competition"": 11.74, ""merchandising"": 5.5, ""basket"": 8.75, ""localization"": 8.15, ""operations"": 2.26, ""gate"": ""COMPLIANCE_REVIEW"", ""reason"": ""product category requires manual compliance evidence; supplier match/delivered quote not yet verified""}"
DK,architectural/kitchen hardware,Positano kitchen handle,72.0,18.0,66.24,510.0,2.3000000000000003,0.03,category/near-match only,https://www.kungreb.dk/da/kokkengreb/handtag-messing/,https://www.alibaba.com/countrysearch/CN/brass-handles-kitchen.html,80.55,RESEARCH,supplier match/delivered quote not yet verified,"{""target_price_local"": 66.24, ""expected_units_per_order"": 8.0, ""order_revenue_local"": 529.92, ""net_revenue_ex_vat"": 423.94, ""landed_cost_local"": 18.0, ""landed_cost_order_local"": 144.0, ""payment_fee_local"": 13.25, ""expected_returns_loss_local"": 11.13, ""support_allowance_local"": 7.95, ""pre_ad_contribution_local"": 247.61, ""expected_cpa_local"": 76.67, ""contribution_after_ads_local"": 170.94, ""break_even_cvr"": 0.00929, ""break_even_roas"": 2.14, ""expected_roas"": 6.912, ""contribution_margin_after_ads"": 0.3226}","{""total"": 80.55, ""economics"": 35.0, ""demand"": 8.12, ""competition"": 11.74, ""merchandising"": 5.5, ""basket"": 9.0, ""localization"": 7.65, ""operations"": 3.53, ""gate"": ""RESEARCH"", ""reason"": ""supplier match/delivered quote not yet verified""}"
NO,rechargeable hospitality/table lighting,"Joe rechargeable table lamp, 3W LED",2049.0,121.0,1885.08,1050.0,5.92,0.026,category/near-match only,https://www.prisjakt.no/s/oppladbar-bordlampe/,https://www.alibaba.com/wholesale/cordless-table-lamps-rechargeable.html,80.46,COMPLIANCE_REVIEW,product category requires manual compliance evidence; supplier match/delivered quote not yet verified,"{""target_price_local"": 1885.08, ""expected_units_per_order"": 1.5, ""order_revenue_local"": 2827.62, ""net_revenue_ex_vat"": 2262.1, ""landed_cost_local"": 121.0, ""landed_cost_order_local"": 181.5, ""payment_fee_local"": 70.69, ""expected_returns_loss_local"": 59.38, ""support_allowance_local"": 42.41, ""pre_ad_contribution_local"": 1908.11, ""expected_cpa_local"": 227.69, ""contribution_after_ads_local"": 1680.42, ""break_even_cvr"": 0.0031, ""break_even_roas"": 1.482, ""expected_roas"": 12.419, ""contribution_margin_after_ads"": 0.5943}","{""total"": 80.46, ""economics"": 35.0, ""demand"": 9.06, ""competition"": 11.74, ""merchandising"": 5.5, ""basket"": 8.75, ""localization"": 8.15, ""operations"": 2.26, ""gate"": ""COMPLIANCE_REVIEW"", ""reason"": ""product category requires manual compliance evidence; supplier match/delivered quote not yet verified""}"
NO,architectural/kitchen hardware,Beslag Design 0143-192 brushed brass handle,146.0,22.0,134.32,300.0,3.5,0.03,category/near-match only,https://www.prisjakt.no/s/kjokken-handtak-borstet-messing/,https://www.alibaba.com/countrysearch/CN/brass-handles-kitchen.html,80.35,RESEARCH,supplier match/delivered quote not yet verified,"{""target_price_local"": 134.32, ""expected_units_per_order"": 8.0, ""order_revenue_local"": 1074.56, ""net_revenue_ex_vat"": 859.65, ""landed_cost_local"": 22.0, ""landed_cost_order_local"": 176.0, ""payment_fee_local"": 26.86, ""expected_returns_loss_local"": 22.57, ""support_allowance_local"": 16.12, ""pre_ad_contribution_local"": 618.1, ""expected_cpa_local"": 116.67, ""contribution_after_ads_local"": 501.43, ""break_even_cvr"": 0.00566, ""break_even_roas"": 1.738, ""expected_roas"": 9.211, ""contribution_margin_after_ads"": 0.4666}","{""total"": 80.35, ""economics"": 35.0, ""demand"": 7.43, ""competition"": 11.74, ""merchandising"": 5.5, ""basket"": 9.0, ""localization"": 8.15, ""operations"": 3.53, ""gate"": ""RESEARCH"", ""reason"": ""supplier match/delivered quote not yet verified""}"
