country,niche,query,intent,status
NO,architectural/kitchen hardware,messing håndtak kjøkken,consumer,seed_validate_with_keyword_provider
NO,architectural/kitchen hardware,kjøkkenhåndtak messing,consumer,seed_validate_with_keyword_provider
NO,architectural/kitchen hardware,børstet messing håndtak,consumer,seed_validate_with_keyword_provider
NO,architectural/kitchen hardware,messing knotter skap,consumer,seed_validate_with_keyword_provider
NO,architectural/kitchen hardware,knotter kjøkken messing,consumer,seed_validate_with_keyword_provider
NO,architectural/kitchen hardware,svarte kjøkkenhåndtak,consumer,seed_validate_with_keyword_provider
NO,architectural/kitchen hardware,møbelhåndtak messing,consumer,seed_validate_with_keyword_provider
NO,architectural/kitchen hardware,skap håndtak messing,consumer,seed_validate_with_keyword_provider
NO,architectural/kitchen hardware,messing veggkrok,consumer,seed_validate_with_keyword_provider
NO,architectural/kitchen hardware,design håndtak kjøkken,consumer,seed_validate_with_keyword_provider
NO,rechargeable hospitality/table lighting,oppladbar bordlampe,consumer,seed_validate_with_keyword_provider
NO,rechargeable hospitality/table lighting,trådløs bordlampe oppladbar,consumer,seed_validate_with_keyword_provider
NO,rechargeable hospitality/table lighting,batteridrevet bordlampe,consumer,seed_validate_with_keyword_provider
NO,rechargeable hospitality/table lighting,oppladbar restaurant lampe,b2b,seed_validate_with_keyword_provider
NO,rechargeable hospitality/table lighting,bordlampe restaurant trådløs,b2b,seed_validate_with_keyword_provider
NO,rechargeable hospitality/table lighting,oppladbare bordlamper restaurant,b2b,seed_validate_with_keyword_provider
NO,rechargeable hospitality/table lighting,oppladbar lampe messing,consumer,seed_validate_with_keyword_provider
NO,rechargeable hospitality/table lighting,oppladbar utelampe bord,consumer,seed_validate_with_keyword_provider
NO,restaurant/hospitality display hardware,menyholder restaurant,b2b,seed_validate_with_keyword_provider
NO,restaurant/hospitality display hardware,menyholder bord,b2b,seed_validate_with_keyword_provider
NO,restaurant/hospitality display hardware,bordskilt restaurant,b2b,seed_validate_with_keyword_provider
NO,restaurant/hospitality display hardware,reservert skilt bord,b2b,seed_validate_with_keyword_provider
