rank,slug,name,total,verdict,price_mid,cogs_mid,gross_margin_pct,evidence_count,reasons,risks
1,memory-card-moonpig,AI Memory Card / Mini-Book Card,91.78,BUILD,13.5,4.0,70.4,4,"demand proof 100/100; repeatability 100/100; recurring graph 100/100; ai effort removed 99/100; giftability 96/100; AI removes substantial customer/design labour; strong holiday/occasion multiplier; can seed reminders, recipient profiles or annual repeats; illustrative gross margin 70% before fees/ads",
2,memory-card-plus-gift,Memory Card + Personalized Gift Attach,90.99,BUILD,59.0,18.0,69.5,4,"repeatability 100/100; recurring graph 100/100; giftability 99/100; q4 multiplier 95/100; demand proof 94/100; AI removes substantial customer/design labour; strong holiday/occasion multiplier; can seed reminders, recipient profiles or annual repeats; illustrative gross margin 69% before fees/ads",
3,family-annual-newspaper,AI Family Annual / Christmas Newspaper,90.76,BUILD,36.5,10.0,72.6,5,"q4 multiplier 98/100; ai effort removed 98/100; giftability 96/100; shareability 92/100; personalization demand 88/100; AI removes substantial customer/design labour; strong holiday/occasion multiplier; can seed reminders, recipient profiles or annual repeats; illustrative gross margin 73% before fees/ads",
4,recipient-one-click-photobook,One-click Recipient Photo Book,89.21,BUILD,64.0,23.0,64.1,5,"ai effort removed 100/100; giftability 98/100; recurring graph 95/100; repeatability 92/100; demand proof 90/100; AI removes substantial customer/design labour; strong holiday/occasion multiplier; can seed reminders, recipient profiles or annual repeats; illustrative gross margin 64% before fees/ads",photo privacy/consent; face clustering should be opt-in; print crop/color quality
5,annual-advent-refill,Personalized Reusable Advent Calendar Refill,89.04,BUILD,27.0,5.0,81.5,3,"q4 multiplier 100/100; repeatability 100/100; ai effort removed 94/100; saturation gap 94/100; gross margin 92/100; AI removes substantial customer/design labour; strong holiday/occasion multiplier; can seed reminders, recipient profiles or annual repeats; illustrative gross margin 81% before fees/ads",must ship early; digital fallback after physical cutoff
6,family-photo-calendar-ai,AI-curated Family Calendar,88.39,BUILD,36.5,11.5,68.5,3,"q4 multiplier 100/100; repeatability 100/100; recurring graph 100/100; ai effort removed 98/100; giftability 94/100; AI removes substantial customer/design labour; strong holiday/occasion multiplier; can seed reminders, recipient profiles or annual repeats; illustrative gross margin 68% before fees/ads",
7,family-ornament-story,QR Story Ornament,88.33,BUILD,36.5,10.5,71.2,3,"q4 multiplier 100/100; repeatability 100/100; recurring graph 100/100; giftability 98/100; demand proof 93/100; strong holiday/occasion multiplier; can seed reminders, recipient profiles or annual repeats; illustrative gross margin 71% before fees/ads",stable/private QR hosting required
8,year-ahead-astrology-book,2027 Year-Ahead Astrology Hardcover,88.21,BUILD,94.0,24.0,74.5,4,"repeatability 100/100; q4 multiplier 97/100; ai effort removed 96/100; recurring graph 92/100; giftability 91/100; AI removes substantial customer/design labour; strong holiday/occasion multiplier; can seed reminders, recipient profiles or annual repeats; illustrative gross margin 74% before fees/ads",must calculate chart data deterministically; do not let LLM invent placements; label as interpretive/entertainment; avoid medical/financial certainty; birth data is sensitive
9,family-game-night,AI Family Game Night Deck,87.84,BUILD,44.0,12.0,72.7,4,q4 multiplier 100/100; giftability 98/100; shareability 96/100; ai effort removed 95/100; personalization demand 88/100; AI removes substantial customer/design labour; strong holiday/occasion multiplier; illustrative gross margin 73% before fees/ads,need filters for hurtful/private questions
10,year-in-12-cards,12 Months of Us Card Set,87.83,BUILD,41.5,11.5,72.3,3,"giftability 99/100; saturation gap 97/100; ai effort removed 96/100; q4 multiplier 94/100; repeatability 94/100; AI removes substantial customer/design labour; strong holiday/occasion multiplier; can seed reminders, recipient profiles or annual repeats; illustrative gross margin 72% before fees/ads",
