concept,occasion,recipient,products,markets,heuristic_score_100,why
Annual family ornament,Christmas,family,ornament,UK/US/AU,93,Repeat collectible + low sizing risk
First Christmas milestone,Christmas,new parents/couple/home,ornament/card,UK/US/IE,92,Evergreen long-tail with strong intent
Pet medieval portrait,Christmas/birthday,pet owner,ornament/print/mug,UK/US,91,Highly visual + UGC
Our Year mini magazine,Christmas/anniversary,family/couple,magazine/book,UK/US/AU,90,Higher AOV + strong AI moat
Couple travel puzzle,Christmas/anniversary,partner,puzzle,UK/US,86,Photo memory + gift reveal
Family photo calendar,Christmas/New Year,family/grandparents,calendar,All,85,Annual repeat
Secret Santa roast,Christmas,coworker/friend,card/mug/mini print,UK/IE/AU,84,"Shareable, price-sensitive"
Child drawing gift set,Christmas/Mother's Day,parent/grandparent,card/mug/ornament,All,88,Authenticity + AI cleanup
Hometown nostalgia,Christmas/birthday,local identity,print/card/ornament,Country-local,82,Geo SEO moat
Generic AI T-shirt,Any,any,shirt,US/UK,48,Amazon/platform competition + sizing
